ISO3,COUNTRY,ADM_NAME,year,month,ndvi,data_status
ETH,Ethiopia,Debub Omo,2018,6,0.5724891484061659,original
ETH,Ethiopia,Debub Wollo,2018,6,0.3351916182007144,original
ETH,Ethiopia,Debubawi,2018,6,0.23379527803882,original
ETH,Ethiopia,Fafan,2018,6,0.3119937542561064,original
ETH,Ethiopia,Gamo Gofa,2018,6,0.5292615035277353,original
ETH,Ethiopia,Guji,2018,6,0.4062890237147532,original
ETH,Ethiopia,Gurage,2018,6,0.5251987571029854,original
ETH,Ethiopia,Hadiya,2018,6,0.4858747040304332,original
ETH,Ethiopia,Horo Guduru,2018,6,0.5682179353585307,original
ETH,Ethiopia,Ilubabor,2018,6,0.6845061397706373,original
ETH,Ethiopia,Jimma,2018,6,0.5703242365553535,original
ETH,Ethiopia,Keffa,2018,6,0.5850240612333197,original
ETH,Ethiopia,Kelem Wellega,2018,6,0.7076132414744677,original
ETH,Ethiopia,Mehakelegnaw,2018,6,0.2098099082599825,original
ETH,Ethiopia,Mirab Arsi,2018,6,0.4970692557206326,original
ETH,Ethiopia,Mirab Gojjam,2018,6,0.4491852049643027,original
ETH,Ethiopia,Mirab Hararghe,2018,6,0.4969457582141005,original
ETH,Ethiopia,Mirab Shewa,2018,6,0.547081965230418,original
ETH,Ethiopia,Mirab Welega,2018,6,0.6373767564734154,original
ETH,Ethiopia,Misraq Gojjam,2018,6,0.4059322620277199,original
ETH,Ethiopia,Misraq Harerge,2018,6,0.4505053682753347,original
ETH,Ethiopia,Misraq Shewa,2018,6,0.3350766590743762,original
ETH,Ethiopia,Misraq Wellega,2018,6,0.6201921577163727,original
ETH,Ethiopia,Misraqawi,2018,6,0.2113882046752855,original
ETH,Ethiopia,North Shewa,2018,6,0.3950401079948284,original
ETH,Ethiopia,Semen Gondar,2018,6,0.4365472800364792,original
ETH,Ethiopia,Semen Wello,2018,6,0.2852148859096757,original
ETH,Ethiopia,Sidama,2018,6,0.5295950133314745,original
ETH,Ethiopia,Silti,2018,6,0.4660208209785026,original
ETH,Ethiopia,Wag Himra,2018,6,0.1857141933826143,original
ETH,Ethiopia,Agew Awi,2018,7,0.6735981603292877,original
ETH,Ethiopia,Alaba,2018,7,0.533688253681578,original
ETH,Ethiopia,Arsi,2018,7,0.5414368080581152,original
ETH,Ethiopia,Bale,2018,7,0.3811815879286107,original
ETH,Ethiopia,Bench Maji,2018,7,0.711199603933009,original
ETH,Ethiopia,Borena,2018,7,0.438303677225879,original
ETH,Ethiopia,Debub Gondar,2018,7,0.5276457967985954,original
ETH,Ethiopia,Debub Mirab Shewa,2018,7,0.5159011949331199,original
ETH,Ethiopia,Debub Omo,2018,7,0.5025982905335916,original
ETH,Ethiopia,Debub Wollo,2018,7,0.5063425642331604,original
ETH,Ethiopia,Debubawi,2018,7,0.3481078805703479,original
ETH,Ethiopia,Fafan,2018,7,0.2908979787811498,original
ETH,Ethiopia,Gamo Gofa,2018,7,0.5422023879758393,original
ETH,Ethiopia,Guji,2018,7,0.4404649608403861,original
ETH,Ethiopia,Gurage,2018,7,0.5807975593839725,original
ETH,Ethiopia,Hadiya,2018,7,0.5292441396386056,original
ETH,Ethiopia,Horo Guduru,2018,7,0.5972298208819036,original
ETH,Ethiopia,Ilubabor,2018,7,0.7068638093882913,original
ETH,Ethiopia,Jimma,2018,7,0.6458962826491015,original
