ISO3,COUNTRY,ADM_NAME,year,month,temp_c,pet_mm,soil_0_7cm,soil_7_28cm,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Borena,2012,7,21.19950130464129,204.27813355325688,0.1739057162039879,0.2733938475372442,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2012,7,16.477983842959127,129.12381434547717,0.4433933201529282,0.4450121060305357,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2012,7,15.176215026230524,119.70835788043124,0.4808604677878116,0.4851031593327776,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2012,7,25.20500398964253,226.58820192805464,0.2280477479558132,0.2595009604684934,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2012,7,16.53206464146962,148.37190753974707,0.4052927707927183,0.3964638622935476,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2012,7,18.625867429805982,172.6747839345477,0.3667714941898354,0.3519557248551836,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2012,7,20.666151024975026,276.91435643778993,0.1629653953025177,0.2026275110523175,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2012,7,19.094908352378805,188.15014335223373,0.3851209149901733,0.3774285021580776,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2012,7,18.204813318080948,223.4530081666358,0.2682741458624678,0.3094904148569329,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2012,7,15.541054272233538,117.59153587978852,0.4759608257647948,0.4797262646436612,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2012,7,16.243989124901898,120.640137350809,0.4734139310215908,0.4763284552942783,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2012,7,17.15609317593858,128.13551058735277,0.4061661605452856,0.4084197863326103,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2012,7,17.034985282815057,172.02006944193604,0.4766013109905404,0.4851223266190549,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2012,7,16.264998924877613,183.19185460528607,0.4779325008821875,0.4864253422228288,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2012,7,16.87708175117203,207.13534059116645,0.4565718246591511,0.4575545923369031,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2012,7,19.23379635376451,139.23710465823902,0.4736376156943131,0.4820745847594286,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2012,7,18.787521005559533,138.6088696595671,0.3812873945850459,0.361074923111285,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2012,7,13.835610785673008,126.67754289368416,0.4408802854620892,0.4458548905961477,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2012,7,16.806138298668248,114.98695304218076,0.3884713091536116,0.3993211722542494,original,1244606.9300988333,305658.1265369256
