ISO3,COUNTRY,ADM_NAME,year,month,spei_03,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Jimma,2005,2,0.3057590610803239,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2005,2,0.3485537997655645,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2005,2,-0.1326814275607466,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2005,2,0.389696255371651,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2005,2,0.5031436322276125,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2005,2,-0.6233442833253616,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2005,2,-0.0838559876556198,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2005,2,0.0404969441803802,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2005,2,-0.3484389702052013,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2005,2,0.6419388893976505,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2005,2,-0.8438635905108651,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2005,2,-0.2089699741959156,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2005,2,-0.1482492343549397,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2005,2,0.3148076027905175,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2005,2,0.0696915090095875,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2005,2,-0.7273048958632135,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2005,2,0.4790056337833517,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2005,2,0.4882148414151353,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2005,2,0.3636968212025198,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2005,2,0.3583241273485815,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2005,3,-0.6627620513491748,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2005,3,0.8854463794460037,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2005,3,0.4843538880991361,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2005,3,-0.1761861067386471,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2005,3,0.455923756384425,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2005,3,0.0545063972307872,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2005,3,0.6718174159429353,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2005,3,0.161712586129312,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2005,3,-0.1743633900464057,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2005,3,1.1250703349951807,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2005,3,1.161445725061689,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2005,3,-0.7365312023355964,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2005,3,0.3780088891566491,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2005,3,0.1643538989032371,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2005,3,0.7726277797179815,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2005,3,0.9296795003164826,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2005,3,0.9302984606261764,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2005,3,0.6587692712513225,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2005,3,0.9581952921541868,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2005,3,0.95819182976366,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2005,3,-0.228284417358227,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2005,3,0.5615719938165986,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2005,3,0.8341957940436349,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2005,3,-0.4611299622594051,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2005,3,0.1545274838941792,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2005,3,0.6876400345714846,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2005,3,-0.3789841030383002,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2005,3,1.1529068224770682,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2005,3,-0.3294060130914052,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2005,3,0.2310638923747476,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2005,3,0.6262309787867437,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2005,3,0.5536435345068165,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2005,3,0.4807871467716256,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2005,3,-0.9224228078090022,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2005,3,1.1762865167741376,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2005,3,0.8010248846844014,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2005,3,0.8229208575114944,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2005,3,0.2022530293649004,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2005,4,-0.3073133735805169,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2005,4,0.7806394745225776,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2005,4,0.3800045494762805,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2005,4,-0.0529061791300454,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2005,4,0.0834110365749466,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2005,4,0.1684035151395136,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2005,4,0.2158618896882844,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2005,4,-0.0073452369986678,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2005,4,-0.491628106520187,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2005,4,0.8294128539712046,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2005,4,0.6129368088517179,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2005,4,-0.5377123548488493,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2005,4,-0.0892494216410292,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2005,4,0.3253571713778531,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2005,4,0.6428821463086429,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2005,4,0.7438806153200809,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2005,4,0.5487352617457509,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2005,4,0.2355523982505569,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2005,4,0.6913360919836685,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2005,4,0.5999503594842909,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2005,4,-0.3186807043198496,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2005,4,-0.0502685956648681,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2005,4,0.7784998189542712,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2005,4,-0.3323660783548379,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2005,4,0.1306432345261176,original,959821.8674397503,695425.1512868485
