ISO3,COUNTRY,ADM_NAME,year,month,ndvi,data_status,lat_wgs84,lon_wgs84
ETH,Ethiopia,Keffa,2013,7,0.6784443332422463,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2013,7,0.7050617477657659,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2013,7,0.3607259582549108,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2013,7,0.4198380133979687,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2013,7,0.4926408445511318,original,1244606.9300988333,305658.1265369256
ETH,Ethiopia,Mirab Hararghe,2013,7,0.5051829661724071,original,959821.8674397503,695425.1512868485
ETH,Ethiopia,Mirab Shewa,2013,7,0.5652586912248945,original,1012787.6426533792,374720.2339558294
ETH,Ethiopia,Mirab Welega,2013,7,0.6791290559158331,original,1032697.9544891039,93189.34631555267
ETH,Ethiopia,Misraq Gojjam,2013,7,0.4546979143066564,original,1162307.4901609693,382504.35478102614
ETH,Ethiopia,Misraq Harerge,2013,7,0.4244494047448564,original,977116.6510985142,830176.1323061767
ETH,Ethiopia,Misraq Shewa,2013,7,0.42803361039611,original,941809.9861702574,516513.8849465026
ETH,Ethiopia,Misraq Wellega,2013,7,0.6678169581807477,original,1039747.3867830498,238185.46961815926
ETH,Ethiopia,Misraqawi,2013,7,0.3389030066145521,original,1557122.5327505618,561161.672201031
ETH,Ethiopia,North Shewa,2013,7,0.4314158646962348,original,1077319.1297421285,519061.2007128659
ETH,Ethiopia,Semen Gondar,2013,7,0.6261773272914531,original,1403688.5691285583,283385.27954423864
ETH,Ethiopia,Semen Wello,2013,7,0.4290885629165338,original,1313128.4243678527,523400.57115138916
ETH,Ethiopia,Sidama,2013,7,0.4361630561316067,original,736495.4309496412,448981.57327440515
ETH,Ethiopia,Silti,2013,7,0.5444324569125277,original,860238.8301044789,413973.540730715
ETH,Ethiopia,Wag Himra,2013,7,0.4147537402327017,original,1405454.9019432787,480362.52930550167
ETH,Ethiopia,Agew Awi,2013,8,0.7076570622179281,original,1237966.7252032289,237630.7306528011
ETH,Ethiopia,Alaba,2013,8,0.6313521672686858,original,819281.7111043445,413070.2957213864
ETH,Ethiopia,Arsi,2013,8,0.6323226765597931,original,877645.5697772538,574724.9062585309
ETH,Ethiopia,Bale,2013,8,0.4179403361547294,original,747946.3065913733,681361.231348667
ETH,Ethiopia,Bench Maji,2013,8,0.6789789471533475,original,701473.8482259716,114196.96727000308
ETH,Ethiopia,Borena,2013,8,0.3502102478278628,original,515172.1606803286,418016.61866877874
ETH,Ethiopia,Debub Gondar,2013,8,0.6042044113344761,original,1298625.058155536,403618.6083826701
ETH,Ethiopia,Debub Mirab Shewa,2013,8,0.6221513512285548,original,951583.702996164,413642.13798491366
ETH,Ethiopia,Debub Omo,2013,8,0.4262325410328001,original,594506.2145672034,208934.4131032283
ETH,Ethiopia,Debub Wollo,2013,8,0.5785997911088779,original,1211322.3946568086,521174.620529377
ETH,Ethiopia,Debubawi,2013,8,0.5439097896580931,original,1431751.9084497697,553121.0303109066
ETH,Ethiopia,Fafan,2013,8,0.3147319383172955,original,1032469.6618888458,952209.2310375178
ETH,Ethiopia,Gamo Gofa,2013,8,0.5673486064547404,original,691442.4764312886,300949.4333249477
ETH,Ethiopia,Guji,2013,8,0.4739549210366995,original,617143.6581352132,515541.0155111069
ETH,Ethiopia,Gurage,2013,8,0.6136749693793546,original,900983.5306617755,398032.32849572034
ETH,Ethiopia,Hadiya,2013,8,0.6262336847801133,original,830355.5261159564,362049.58761804504
ETH,Ethiopia,Horo Guduru,2013,8,0.6791754195618889,original,1073842.1136536016,303139.1779347765
ETH,Ethiopia,Ilubabor,2013,8,0.7854103258904876,original,923454.0637086349,147288.1625894781
ETH,Ethiopia,Jimma,2013,8,0.7031184473905697,original,875746.526436117,259839.3932920487
ETH,Ethiopia,Keffa,2013,8,0.6949829735391897,original,799856.0187669549,177107.59706387814
ETH,Ethiopia,Kelem Wellega,2013,8,0.7884124629737452,original,975242.8784768393,35649.15365851755
ETH,Ethiopia,Mehakelegnaw,2013,8,0.5254525504626447,original,1540791.2187320353,491809.79678931914
ETH,Ethiopia,Mirab Arsi,2013,8,0.6098558332374713,original,779934.148437699,497832.64267631114
ETH,Ethiopia,Mirab Gojjam,2013,8,0.615302867834472,original,1244606.9300988333,305658.1265369256
