ISO3,COUNTRY,ADM_NAME,year,month,lst_c,data_status
ETH,Ethiopia,Mirab Gojjam,2024,4,37.39203453848878,original
ETH,Ethiopia,Mirab Hararghe,2024,4,30.18082004213069,original
ETH,Ethiopia,Mirab Shewa,2024,4,31.16544031586015,original
ETH,Ethiopia,Mirab Welega,2024,4,34.71622231809035,original
ETH,Ethiopia,Misraq Gojjam,2024,4,38.45063516192441,original
ETH,Ethiopia,Misraq Harerge,2024,4,29.90106798256086,original
ETH,Ethiopia,Misraq Shewa,2024,4,31.390583063221968,original
ETH,Ethiopia,Misraq Wellega,2024,4,37.350887175941374,original
ETH,Ethiopia,Misraqawi,2024,4,33.79766451819003,original
ETH,Ethiopia,North Shewa,2024,4,31.00469868618588,original
ETH,Ethiopia,Semen Gondar,2024,4,44.329293017507815,original
ETH,Ethiopia,Semen Wello,2024,4,33.96570292020936,original
ETH,Ethiopia,Sidama,2024,4,23.56658937896824,original
ETH,Ethiopia,Silti,2024,4,26.4042517605634,original
ETH,Ethiopia,Wag Himra,2024,4,40.05186109024787,original
ETH,Ethiopia,Agew Awi,2024,5,34.97088965946241,original
ETH,Ethiopia,Alaba,2024,5,28.21936834305829,original
ETH,Ethiopia,Arsi,2024,5,28.05192826628968,original
ETH,Ethiopia,Bale,2024,5,27.00153307236866,original
ETH,Ethiopia,Bench Maji,2024,5,26.094757125897008,original
ETH,Ethiopia,Borena,2024,5,25.523522011127472,original
ETH,Ethiopia,Debub Gondar,2024,5,35.89589153118518,original
ETH,Ethiopia,Debub Mirab Shewa,2024,5,29.74935070757003,original
ETH,Ethiopia,Debub Omo,2024,5,28.392472926865477,original
ETH,Ethiopia,Debub Wollo,2024,5,34.54659487970123,original
ETH,Ethiopia,Debubawi,2024,5,37.398359688915264,original
ETH,Ethiopia,Fafan,2024,5,32.79860820791182,original
ETH,Ethiopia,Gamo Gofa,2024,5,24.10774069834956,original
ETH,Ethiopia,Guji,2024,5,23.04997269112871,original
ETH,Ethiopia,Gurage,2024,5,25.99683519734423,original
ETH,Ethiopia,Hadiya,2024,5,24.45736406114926,original
ETH,Ethiopia,Horo Guduru,2024,5,28.88955845990821,original
ETH,Ethiopia,Ilubabor,2024,5,26.44722389299536,original
ETH,Ethiopia,Jimma,2024,5,25.063653982022,original
ETH,Ethiopia,Keffa,2024,5,22.75957661613045,original
ETH,Ethiopia,Kelem Wellega,2024,5,28.908463463210072,original
ETH,Ethiopia,Mehakelegnaw,2024,5,38.72012250786103,original
ETH,Ethiopia,Mirab Arsi,2024,5,24.840605939208988,original
ETH,Ethiopia,Mirab Gojjam,2024,5,31.875645447177405,original
ETH,Ethiopia,Mirab Hararghe,2024,5,29.92337806290412,original
ETH,Ethiopia,Mirab Shewa,2024,5,28.749433147625084,original
ETH,Ethiopia,Mirab Welega,2024,5,31.2321608666475,original
ETH,Ethiopia,Misraq Gojjam,2024,5,32.21028242375785,original
ETH,Ethiopia,Misraq Harerge,2024,5,28.002866548920423,original
ETH,Ethiopia,Misraq Shewa,2024,5,34.44884678329124,original
ETH,Ethiopia,Misraq Wellega,2024,5,30.73651816378854,original
ETH,Ethiopia,Misraqawi,2024,5,34.62277861294851,original
ETH,Ethiopia,North Shewa,2024,5,33.391459629575,original
ETH,Ethiopia,Semen Gondar,2024,5,39.40402299576619,original
ETH,Ethiopia,Semen Wello,2024,5,36.01217031168891,original
ETH,Ethiopia,Sidama,2024,5,22.29323475593819,original
ETH,Ethiopia,Silti,2024,5,26.68069928341985,original
ETH,Ethiopia,Wag Himra,2024,5,40.41915760762147,original
ETH,Ethiopia,Agew Awi,2024,6,26.15933584357949,original
ETH,Ethiopia,Alaba,2024,6,26.200064369732363,original
ETH,Ethiopia,Arsi,2024,6,27.050006043053973,original
ETH,Ethiopia,Bale,2024,6,28.5042631699953,original
ETH,Ethiopia,Bench Maji,2024,6,25.514102356029763,original
ETH,Ethiopia,Borena,2024,6,26.204043008147902,original
ETH,Ethiopia,Debub Gondar,2024,6,30.78323731906777,original
ETH,Ethiopia,Debub Mirab Shewa,2024,6,25.446570557090265,original
ETH,Ethiopia,Debub Omo,2024,6,29.459286010067007,original
ETH,Ethiopia,Debub Wollo,2024,6,31.25130694032441,original
ETH,Ethiopia,Debubawi,2024,6,34.242988467741064,original
ETH,Ethiopia,Fafan,2024,6,30.377724796447083,original
ETH,Ethiopia,Gamo Gofa,2024,6,23.657595183520403,original
ETH,Ethiopia,Guji,2024,6,22.30801983623999,original
ETH,Ethiopia,Gurage,2024,6,22.92582471604792,original
ETH,Ethiopia,Hadiya,2024,6,22.11109041419345,original
ETH,Ethiopia,Horo Guduru,2024,6,23.337836183719965,original
ETH,Ethiopia,Ilubabor,2024,6,22.31908278402928,original
ETH,Ethiopia,Jimma,2024,6,21.39403606206671,original
ETH,Ethiopia,Keffa,2024,6,20.96235733137776,original
ETH,Ethiopia,Kelem Wellega,2024,6,24.48551178510852,original
ETH,Ethiopia,Mehakelegnaw,2024,6,31.9423536273372,original
ETH,Ethiopia,Mirab Arsi,2024,6,23.37523445249909,original
ETH,Ethiopia,Mirab Gojjam,2024,6,25.267646219188705,original
ETH,Ethiopia,Mirab Hararghe,2024,6,29.685013302601728,original
ETH,Ethiopia,Mirab Shewa,2024,6,24.20273511342773,original
ETH,Ethiopia,Mirab Welega,2024,6,24.16244288890749,original
ETH,Ethiopia,Misraq Gojjam,2024,6,27.3979506924546,original
ETH,Ethiopia,Misraq Harerge,2024,6,28.99747216255354,original
ETH,Ethiopia,Misraq Shewa,2024,6,30.374343093093103,original
ETH,Ethiopia,Misraq Wellega,2024,6,23.727111535079917,original
ETH,Ethiopia,Misraqawi,2024,6,32.31919375751656,original
ETH,Ethiopia,North Shewa,2024,6,30.30130003818223,original
ETH,Ethiopia,Semen Gondar,2024,6,30.29000272800092,original
ETH,Ethiopia,Semen Wello,2024,6,32.75214772577055,original
ETH,Ethiopia,Sidama,2024,6,21.46904390963644,original
ETH,Ethiopia,Silti,2024,6,24.14944264269832,original
ETH,Ethiopia,Wag Himra,2024,6,34.89383510561197,original
ETH,Ethiopia,Agew Awi,2024,7,23.6836451279469,original
ETH,Ethiopia,Alaba,2024,7,23.71937691664347,original
ETH,Ethiopia,Arsi,2024,7,22.03607191261605,original
ETH,Ethiopia,Bale,2024,7,28.51195852865764,original
ETH,Ethiopia,Bench Maji,2024,7,25.668421473949643,original
ETH,Ethiopia,Borena,2024,7,27.683750635933773,original
ETH,Ethiopia,Debub Gondar,2024,7,22.266656774146863,original
ETH,Ethiopia,Debub Mirab Shewa,2024,7,20.18307833103724,original
ETH,Ethiopia,Debub Omo,2024,7,30.496133639178417,original
ETH,Ethiopia,Debub Wollo,2024,7,21.366617604875927,original
ETH,Ethiopia,Debubawi,2024,7,25.638519573821124,original
ETH,Ethiopia,Fafan,2024,7,28.4277184143433,original
ETH,Ethiopia,Gamo Gofa,2024,7,24.56290006809673,original
ETH,Ethiopia,Guji,2024,7,24.358587713338057,original
ETH,Ethiopia,Gurage,2024,7,19.31329607586976,original
ETH,Ethiopia,Hadiya,2024,7,20.0137698767641,original
ETH,Ethiopia,Horo Guduru,2024,7,21.61775026860263,original
ETH,Ethiopia,Ilubabor,2024,7,21.15529702698779,original
ETH,Ethiopia,Jimma,2024,7,19.70379754993847,original
ETH,Ethiopia,Keffa,2024,7,20.734727454233205,original
ETH,Ethiopia,Kelem Wellega,2024,7,23.94265967893249,original
ETH,Ethiopia,Mehakelegnaw,2024,7,24.36494920863906,original
ETH,Ethiopia,Mirab Arsi,2024,7,19.16072250083262,original
ETH,Ethiopia,Mirab Gojjam,2024,7,21.75296814869406,original
ETH,Ethiopia,Mirab Hararghe,2024,7,26.467061116734666,original
ETH,Ethiopia,Mirab Shewa,2024,7,20.5949438297324,original
ETH,Ethiopia,Mirab Welega,2024,7,23.460946872123,original
ETH,Ethiopia,Misraq Gojjam,2024,7,21.575162300873163,original
ETH,Ethiopia,Misraq Harerge,2024,7,26.977261952505064,original
ETH,Ethiopia,Misraq Shewa,2024,7,24.05510091243583,original
ETH,Ethiopia,Misraq Wellega,2024,7,22.62395923107784,original
ETH,Ethiopia,Misraqawi,2024,7,22.90761747719987,original
ETH,Ethiopia,North Shewa,2024,7,21.690978776100057,original
ETH,Ethiopia,Semen Gondar,2024,7,25.634621426236787,original
ETH,Ethiopia,Semen Wello,2024,7,23.04108167983983,original
ETH,Ethiopia,Sidama,2024,7,20.30038462465941,original
ETH,Ethiopia,Silti,2024,7,20.94519320208973,original
ETH,Ethiopia,Wag Himra,2024,7,25.37507827015064,original
ETH,Ethiopia,Agew Awi,2024,8,23.42348688238262,original
ETH,Ethiopia,Alaba,2024,8,22.973955959988928,original
ETH,Ethiopia,Arsi,2024,8,22.0962032648763,original
ETH,Ethiopia,Bale,2024,8,29.166814360285432,original
ETH,Ethiopia,Bench Maji,2024,8,26.052779617505013,original
ETH,Ethiopia,Borena,2024,8,28.75193595661272,original
ETH,Ethiopia,Debub Gondar,2024,8,20.925078663886385,original
ETH,Ethiopia,Debub Mirab Shewa,2024,8,20.352225905260028,original
ETH,Ethiopia,Debub Omo,2024,8,30.72153055176397,original
ETH,Ethiopia,Debub Wollo,2024,8,19.79936682064453,original
ETH,Ethiopia,Debubawi,2024,8,22.74145740760081,original
ETH,Ethiopia,Fafan,2024,8,29.08700970338959,original
ETH,Ethiopia,Gamo Gofa,2024,8,23.638645238820647,original
ETH,Ethiopia,Guji,2024,8,24.152821618090677,original
ETH,Ethiopia,Gurage,2024,8,19.83760921302089,original
ETH,Ethiopia,Hadiya,2024,8,20.226820118511736,original
ETH,Ethiopia,Horo Guduru,2024,8,19.99854832037482,original
ETH,Ethiopia,Ilubabor,2024,8,21.218043537159797,original
ETH,Ethiopia,Jimma,2024,8,20.21634502904722,original
ETH,Ethiopia,Keffa,2024,8,21.211271120411872,original
ETH,Ethiopia,Kelem Wellega,2024,8,24.01001021353092,original
ETH,Ethiopia,Mehakelegnaw,2024,8,23.53487830651888,original
ETH,Ethiopia,Mirab Arsi,2024,8,19.23941199287808,original
ETH,Ethiopia,Mirab Gojjam,2024,8,20.93050094678375,original
ETH,Ethiopia,Mirab Hararghe,2024,8,26.504240150136656,original
ETH,Ethiopia,Mirab Shewa,2024,8,20.37814245601342,original
ETH,Ethiopia,Mirab Welega,2024,8,23.40342643756467,original
ETH,Ethiopia,Misraq Gojjam,2024,8,19.915686660675757,original
ETH,Ethiopia,Misraq Harerge,2024,8,27.554159174302452,original
ETH,Ethiopia,Misraq Shewa,2024,8,24.55066540090437,original
ETH,Ethiopia,Misraq Wellega,2024,8,21.92867546991951,original
ETH,Ethiopia,Misraqawi,2024,8,22.7158152296687,original
ETH,Ethiopia,North Shewa,2024,8,20.79786992279145,original
ETH,Ethiopia,Semen Gondar,2024,8,24.205367439873505,original
ETH,Ethiopia,Semen Wello,2024,8,20.978316712977776,original
ETH,Ethiopia,Sidama,2024,8,20.831407536737977,original
ETH,Ethiopia,Silti,2024,8,20.516995010913657,original
ETH,Ethiopia,Wag Himra,2024,8,23.05712139119812,original
ETH,Ethiopia,Agew Awi,2024,9,24.9417899069577,original
ETH,Ethiopia,Alaba,2024,9,26.28118574604061,original
ETH,Ethiopia,Arsi,2024,9,23.192422941561084,original
ETH,Ethiopia,Bale,2024,9,30.15320706356161,original
ETH,Ethiopia,Bench Maji,2024,9,27.895186717296276,original
